Year,RMS dB,Start Time
2019 (Pre-Covid),103.4,5:35
2019 (Pre-Covid),101.2,5:45
2019 (Pre-Covid),101.5,6:05
2019 (Pre-Covid),108.9,6:15
2019 (Pre-Covid),100.8,6:25
2019 (Pre-Covid),100.7,6:35
2019 (Pre-Covid),100.5,6:45
2019 (Pre-Covid),114.3,6:55
2019 (Pre-Covid),100.6,7:05
2019 (Pre-Covid),109.5,7:15
2019 (Pre-Covid),100.2,7:25
2019 (Pre-Covid),127.6,7:35
2019 (Pre-Covid),103.1,7:45
2019 (Pre-Covid),108.4,7:55
2019 (Pre-Covid),108.3,8:05
2019 (Pre-Covid),116.9,8:15
2019 (Pre-Covid),101.3,8:25
2019 (Pre-Covid),109.7,8:35
2019 (Pre-Covid),115.1,8:45
2019 (Pre-Covid),111.1,8:55
2019 (Pre-Covid),112.7,9:05
2019 (Pre-Covid),116,9:15
2019 (Pre-Covid),117.6,9:25
2019 (Pre-Covid),102.4,9:35
2019 (Pre-Covid),106.3,9:45
2019 (Pre-Covid),100.3,9:55
2019 (Pre-Covid),103.7,10:05
2019 (Pre-Covid),102.2,10:15
2019 (Pre-Covid),102,10:25
2019 (Pre-Covid),109.5,10:35
2019 (Pre-Covid),100.4,10:45
2019 (Pre-Covid),127.8,10:55
2019 (Pre-Covid),115.7,11:05
2019 (Pre-Covid),106.3,11:15
2019 (Pre-Covid),110.8,11:25
2019 (Pre-Covid),100.5,11:35
2019 (Pre-Covid),106.7,11:45
2019 (Pre-Covid),101.6,11:55
2019 (Pre-Covid),100.3,12:05
2019 (Pre-Covid),110.4,12:15
2019 (Pre-Covid),101.4,12:25
2019 (Pre-Covid),103.9,12:35
2019 (Pre-Covid),107.1,12:45
2019 (Pre-Covid),107.7,12:55
2019 (Pre-Covid),100,13:05
2019 (Pre-Covid),127.6,13:15
2019 (Pre-Covid),110.4,13:25
2019 (Pre-Covid),99.4,13:35
2019 (Pre-Covid),107.3,13:45
2019 (Pre-Covid),101.4,13:55
2019 (Pre-Covid),102.7,14:05
2019 (Pre-Covid),102.8,14:15
2019 (Pre-Covid),110.4,14:25
2019 (Pre-Covid),102.5,14:35
2019 (Pre-Covid),98.3,14:45
2019 (Pre-Covid),115.9,14:55
2019 (Pre-Covid),108.2,15:05
2019 (Pre-Covid),99.3,15:15
2019 (Pre-Covid),114.3,15:25
2019 (Pre-Covid),101,15:35
2019 (Pre-Covid),118.7,15:45
2019 (Pre-Covid),99.6,15:55
2019 (Pre-Covid),106.6,16:05
2019 (Pre-Covid),111,16:15
2019 (Pre-Covid),100.5,16:25
2019 (Pre-Covid),99.2,16:35
2019 (Pre-Covid),100.4,16:45
2019 (Pre-Covid),102.8,16:55
2019 (Pre-Covid),101.2,17:05
2019 (Pre-Covid),103.5,17:15
2019 (Pre-Covid),99.8,17:25
2019 (Pre-Covid),108.5,17:35
2019 (Pre-Covid),103,17:45
2019 (Pre-Covid),112.6,17:55
2019 (Pre-Covid),108,18:05
2019 (Pre-Covid),101.6,18:15
2019 (Pre-Covid),114.7,18:25
2019 (Pre-Covid),101.3,18:35
2019 (Pre-Covid),101.8,18:45
2019 (Pre-Covid),102.2,18:55
2019 (Pre-Covid),102.4,19:05
2019 (Pre-Covid),101.8,19:15
